Description,Price,Sqr Ft,Longitude,Latitude,Beds,Bath,Year Built,Address,City,State,Zipcode
" Fantastic opportunity to live in one of the Grove's most coveted waterfront buildings in a completely renovated 7th floor corner unit with wrap-around water views. Located on a private 20-acre island minutes from fine dining, museums, the financial district, boutiques & international airport. The bright & open floor plan features a beautifully updated kitchen & gorgeous baths, a stunning bar with icemaker, breakfast area utilized as an office space with built-in desk & city/water views, porcelain ""wood plank"" floors, impact windows & sliders. This is resort-style living with world-class amenities including 2-mile jog/walking path, private beach pavilion, multiple pools, spa, fitness center, valet & waterfront dog park. ","$1,190,000 ","2,614 sqft",-80.21797,25.736372,3,3,1981," 3 Grove Isle Dr #C709 Miami, FL 33133 ",Miami,FL,33133
" The sale includes three lots, 1483, 1487 & 1491 W. Avenue 43 totaling 13,928 Sqft. APN's 5472-013-072, 5472-013-071, 5472-013-070. Zoned RE11. Mount Washington - Glassell Park Specific Plan. Easy access to the Glassell Park Recreation Center and a short drive to all of the attractions on York Blvd. Uphill topography. All three lots sold together. Survey, soil report and tree report available. ","$320,000 ",,-118.22355,34.120155,,,," 1487 W Avenue 43 Los Angeles, CA 90065 ",Los Angeles,CA,90065
" Best street in Ferndale, nice porch, private back yard. Must see!! This will go quick!! Nest door bell. Garage can be added. 2 washers and 2 dryers makes for quicker laundry. High ceilings, with lots of light (Pictures will be updated). Trash included, tenant pays internet, water, gas, & electric. ","$249,000 ","1,650 sqft",-83.12429,42.453674,3,2,1927," 393 Wordsworth St #2 Ferndale, MI 48220 ",Ferndale,MI,48220
" Beautiful Lot Sitting On A Little Over 1 Acre! Mature Trees All Over Great For Shading Both Your Home, And Outdoor Activities. Enjoy 2 Large Master Bedrooms, with oversized windows and ceiling fans in all rooms! Brick 2 Car Detached Garage With Storage Room, Work Area, & Half Bathroom. There are so many possibilities with this huge lot, think of all the memories you can make with your family every holiday. May of 2018 replaced flooring, appliances, counter tops in baths and kitchen. Duct work cleaned, A/C coil cleaned, Electrical Repairs. ","$219,000 ","2,260 sqft",-95.4754,30.015919,3,4,1970," 16710 Waycreek Rd Houston, TX 77068 ",Houston,TX,77068
" It does not have a garage, but it has a large lot, with space for one. This property needs a lot of work. for more info visit our Facebook page at https://www.facebook.com/VDetroit/, text us at 3132634848 or email us at oryv88vdet@gmail.com ","$9,999 ","1,260 sqft",-83.06733,42.4221,3,1,1926," 17361 Moran St Detroit, MI 48212 ",Detroit,MI,48212
" New 10 lot Subdivision in Oak Hills/Bethany! Shovel ready LEVEL corner lot, ready to build! Bring your own builder or custom build with our on site Street of Dreams quality builder. Convenient location close to Nike, Intel, Hwy 26, St Vincent, shops, etc! Neighborhood features new 8 mile walking trail, coming soon. Several options - call agent for more details! A++ Schools! Oak Hills/Meadow Park/Sunset. Buyer to do their due diligence. ","$295,000 ",,-122.82871,45.548088,,,," 14641 NW Lilianna Ln Portland, OR 97229 ",Portland,OR,97229
" Vacant Land available for sale. Can be sold with two other vacant lots 1864 and 1868 N Marston Street for $160,000.RSA-5 Zoning ","$50,000 ",960 sqft,-75.17928,39.984474,,,," 1870 N Marston St Philadelphia, PA 19121 ",Philadelphia,PA,19121
" Privacy w/convenience in N. Eagle River. Commuting to base or ANC is a breeze from this perfectly sized Alaskan treasure. LARGE shop off garage. Arctic entry. Multi-level home w/2 living spaces; one, w/soaring cathedral ceiling & dramatic 2-story rock wall gas fire place. The other w/a lovely wooded, sunset view. Nice sized kitchen w/exit 2 back yard kitchen. Private, spacious master bdrm nest on ","$420,000 ","2,839 sqft",-149.53984,61.35056,3,2,1978," 14409 Don Cir Eagle River, AK 99577 ",Eagle River,AK,99577
" This single-family home is located at 4441 Salem St, Wichita, KS. 4441 Salem St is in the Northeast Heights neighborhood in Wichita, KS and in ZIP code 67220. It is currently for sale and has been listed on Trulia for 1 day. This property is listed for $139,900. This property has 2 bedrooms, 2 bathrooms and approximately 1,370 sqft of floor space. This property has a lot size of 9,148 sqft and was built in 1987. ","$139,900 ","1,370 sqft",-97.28424,37.740166,2,2,1987," 4441 Salem St Wichita, KS 67220 ",Wichita,KS,67220
" Tired of the cookie cutter new construction condos? Well Look no further, come see this true 3 bedroom, 2 full bath home. Unit 3A offers a large entry foyer, a designated dining room, massive living room that can accommodate your furniture of choice without compromise, washer/dryer, all new split system A/C's installed, pvt deeded parking spot, deeded storage room and 2 large two patios. The flow is seamless, this 1,420 Sq Ft home offers a great balance of space to meet your needs and more. All bedrooms offer ample space to accommodate your desired furniture and features large closets, The master bedroom has a massive walk-in closet, an over-sized windowed en-suite, and pvt patio. You can live here forever, and never outgrow it. This home boosts natural light all day! If you are looking for quality design, quality of construction, quality of finishes, quality of life, then this home is for you. The A line offers views of the bay. This unit is in the prime location where you can enjoy the finest dining in Brooklyn and all that Emmons has to offer. If your commuting you have the B & Q Trains, belt parkway east & west very nearby. Please contact me to set up a private showing. ","$919,000 ","1,420 sqft",-73.944664,40.58432,3,2,2001," 2806 E 23rd St #3A Brooklyn, NY 11235 ",Brooklyn,NY,11235
" Investor and homebuyer opportunity! This property is being offered at a live auction on 01-30-2020. Buy it as an investment or enjoy it as your own home. Visit Auction.com to find out where and when the auction will take place. Also, view additional photos, sales comps, rental data, title info, neighborhood reports and more. Auction.com is the nation's leading online real estate marketplace offering over 30,000 discounted residential bank-owned and foreclosure deals. Don't miss the opportunity to buy homes that offer the potential for a high return on investment. In addition to this property, Auction.com has 472 scheduled for sale at this same auction. Altogether, Auction.com has 614 properties scheduled for sale in Los Angeles County and 2378 throughout California. All properties and sale details can be found with a simple search at Auction.com. Create a free account to find similar properties, save your favorites and receive email alerts of upcoming auctions. To view the complete details of this property, click the ""Get Auction Details"" button above or paste the Property ID 2892183 into the search bar at Auction.com. ","$495,993 ","1,302 sqft",-118.289986,33.971004,4,2,1913," 921 W 76th St Los Angeles, CA 90044 ",Los Angeles,CA,90044
" PRE-CONSTRUCTION PRICING! Stunning new construction in the Heights! Built to a higher standard, this impressive free-standing two-story brick-accented home with private driveway and light and bright FIRST FLOOR open living with 12-foot ceilings, wide plank wood flooring, and oversized patio doors that transition into a spacious backyard, perfect for entertaining. Stylish island kitchen with quartz countertops, Herringbone backsplash, and a Bosch stainless steel appliance package. The expansive master suite offers an abundance of windows, coffered ceilings, two closets including a generously sized walk-in closet, and a tastefully designed spa-like master bath with dual vanities, separate shower and soaking tub. Located in one of Houston's most desirable neighborhoods. Walking distance to many local restaurants, parks, trails, and coffee shops, this home can't be missed. Call for a private showing today! ","$599,000 ","2,502 sqft",-95.40841,29.796923,3,3,2020," 1446 Alexander St Houston, TX 77008 ",Houston,TX,77008
" Photos coming on Saturday...you won't be disappointed!!! One of the very rare and private cul-de-sac lots with only one neighbor. Large center island kitchen featuring granite counter tops, stainless appliances and gas range. Breakfast area and formal dining. Plantation shutters throughout! Extra large master suite with flex area, walk-in closet, 2x vanity & garden tub w/ separate shower. HVAC has been upgraded with the highest rated coil available. Enjoy the breeze and view from the spacious patio. Carpet only in closets, the new WOOD FLOORS really sets this one apart from the rest. Automatic sprinklers make for simple maintenance. Award winning schools. GOOGLE Fiber!!! ","$415,000 ","2,276 sqft",-97.875404,30.242298,3,3,2011," 7309 Highland Bluff Cv Austin, TX 78735 ",Austin,TX,78735
" TURN KEY and ready for YOU to move in! This newly renovated home has many updates and upgrades to appreciate. Completely new roof (boards as well as shingles), fresh paint, new flooring and kitchen! Partially finished basement with kitchenette extends ranch style living space to the lower level where you will find a clean dry basement. Detached garage with fully paved drive! Come see this home today! ","$89,900 ","1,064 sqft",-81.58768,41.41544,3,1,1957," 5383 Roland Dr Garfield Heights, OH 44125 ",Garfield Heights,OH,44125
" Spacious home with 4 bedrooms, 3 full baths. First floor has a bedroom and full bath. Upstairs has the master bedroom along with two other bedrooms and a loft. No neighbors in the back. ","$269,000 ","2,364 sqft",-99.446945,27.613628,4,3,2016," 317 Silver Leaf Oak Dr Laredo, TX 78045 ",Laredo,TX,78045
" Beautifully renovated home in the heart of Madison only 8 miles from Downtown. All appliances remain. Walkability. This house has everything you could ask for; featuring: Large lot with mature trees to play in, two storage sheds, and and RV hook up too! Extremely close to hop on Briley Pwy and I-65! ","$375,000 ","2,300 sqft",-86.73347,36.260887,3,3,1950," 114 S Graycroft Ave Madison, TN 37115 ",Madison,TN,37115
" Wonderful chance to own this value priced home. Enjoy nice room sizes, wood flooring.Use the unfinished basement as added storage or finish for more living space. A convenient location, just a short drive to Downtown Baltimore and hospitals. Selling individually or part of a package deal. Great investment opportunity. ","$47,000 ",,-76.6517,39.287117,2,1,1920," 2154 Hollins St Baltimore, MD 21223 ",Baltimore,MD,21223
" A great opportunity to own some land and a new rebuilt home close to Highway 99. This home is in the final stages of construction. Completion is projected 2/15/2020 per contractor, there is still time to select some of your color/style options. This home is close to schools and restaurants while having a country living feeling. The vacant land on the side is perfect for parking your large trucks. ","$345,000 ","1,598 sqft",-119.847725,36.774605,3,2,1954," 3147 W Princeton Ave Fresno, CA 93722 ",Fresno,CA,93722
